grade,subject,chapter,mode,board,cached_steps,expected_steps,milestones,quickchecks,status
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 7: The Necklace,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 8: Bholi,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Supplementary Reader - Chapter 9: The Book That Saved the Earth,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 1: A Letter to God,CBSE,CBSE,6,6,0,0,already_stored
Grade 10,English,Text Book - Chapter 2: Nelson Mandela: Long Walk to Freedom,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 3: Two Stories about Flying,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 4: From the Diary of Anne Frank,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 5: Glimpses of India,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 6: Mijbil the Otter,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 7: Madam Rides the Bus,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 8: The Sermon at Benares,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Text Book - Chapter 9: The Proposal,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 1: A Letter to God,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 2: Nelson Mandela — Long Walk to Freedom,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 3: Two Stories About Flying,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 4: From the Diary of Anne Frank,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 5: Glimpses of India,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 6: Mijbil the Otter,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 7: Madam Rides the Bus,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 8: The Sermon at Benares,CBSE,CBSE,6,6,6,0,stored
Grade 10,English,Workbook - Chapter 9: The Proposal,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 10: मन्नू भंडारी,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 11: यतींद्र मिश्र,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 12: भदंत आनंद कौसल्यायन,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 1: सूरदास,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 2: तुलसीदास,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 3: जयशंकर प्रसाद,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 4: सूर्यकांत त्रिपाठी 'निराला',CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 5: नागार्जुन,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 7: स्वयं प्रकाश,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 8: रामवृक्ष बेनीपुरी,CBSE,CBSE,6,6,6,0,stored
Grade 10,Hindi,अध्याय 9: यशपाल,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 10: Circles,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 11: Areas Related to Circles,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 12: Surface Areas and Volumes,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 13: Statistics,CBSE,CBSE,6,6,6,1,stored
Grade 10,Maths,Chapter 14: Probability,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 1: Real Numbers,CBSE,CBSE,6,6,0,0,already_stored
Grade 10,Maths,Chapter 2: Polynomials,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 3: Pair of Linear Equations in Two Variables,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 4: Quadratic Equations,CBSE,CBSE,6,6,6,1,stored
Grade 10,Maths,Chapter 5: Arithmetic Progressions,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 6: Triangles,CBSE,CBSE,6,6,6,0,stored
Grade 10,Maths,Chapter 7: Coordinate Geometry,CBSE,CBSE,6,6,6,0,stored
