document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
932,Grade 8,Science,Exemplar: Reaching the Age of Adolescence,NCERT Exemplar Grade 8 Science — Reaching the Age of Adolescence,26,0,False,93,100,94,49,0,25,23,0,2026-07-10T05:25:05.669956+00:00
931,Grade 8,Science,Exemplar: Cell - Structure and Functions,NCERT Exemplar Grade 8 Science — Cell - Structure and Functions,15,0,False,93,100,94,52,0,14,14,0,2026-07-10T05:25:05.884725+00:00
930,Grade 8,Science,Exemplar: Pollution of Air and Water,NCERT Exemplar Grade 8 Science — Pollution of Air and Water,15,0,False,94,100,96,51,0,14,9,0,2026-07-10T05:25:06.095226+00:00
929,Grade 8,Science,Exemplar: Stars and the Solar System,NCERT Exemplar Grade 8 Science — Stars and the Solar System,17,0,False,93,100,95,49,0,17,14,0,2026-07-10T05:25:06.302547+00:00
928,Grade 8,Science,Exemplar: Light,NCERT Exemplar Grade 8 Science — Light,22,0,False,93,100,94,50,0,22,19,0,2026-07-10T05:25:06.534034+00:00
927,Grade 8,Science,Exemplar: Some Natural Phenomena,NCERT Exemplar Grade 8 Science — Some Natural Phenomena,13,0,False,94,100,96,50,0,12,9,0,2026-07-10T05:25:06.707376+00:00
926,Grade 8,Science,Exemplar: Chemical Effects of Electric Current,NCERT Exemplar Grade 8 Science — Chemical Effects of Electric Current,19,0,False,93,100,94,49,0,18,17,0,2026-07-10T05:25:06.904456+00:00
925,Grade 8,Science,Exemplar: Sound,NCERT Exemplar Grade 8 Science — Sound,18,0,False,93,100,94,50,0,17,16,0,2026-07-10T05:25:07.106636+00:00
924,Grade 8,Science,Exemplar: Friction,NCERT Exemplar Grade 8 Science — Friction,25,0,False,93,99,96,51,0,24,20,0,2026-07-10T05:25:07.306569+00:00
923,Grade 8,Science,Exemplar: Force and Pressure,NCERT Exemplar Grade 8 Science — Force and Pressure,18,0,False,93,100,95,50,0,18,12,0,2026-07-10T05:25:07.482822+00:00
922,Grade 8,Science,Exemplar: Reproduction in Animals,NCERT Exemplar Grade 8 Science — Reproduction in Animals,29,0,False,93,100,95,50,0,28,24,0,2026-07-10T05:25:07.685213+00:00
921,Grade 8,Science,Exemplar: Conservation of Plants and Animals,NCERT Exemplar Grade 8 Science — Conservation of Plants and Animals,15,0,False,93,100,95,51,0,14,11,0,2026-07-10T05:25:07.866954+00:00
920,Grade 8,Science,Exemplar: Combustion and Flame,NCERT Exemplar Grade 8 Science — Combustion and Flame,31,0,False,93,100,95,50,0,30,24,0,2026-07-10T05:25:08.144740+00:00
919,Grade 8,Science,Exemplar: Coal and Petroleum,NCERT Exemplar Grade 8 Science — Coal and Petroleum,23,0,False,93,100,94,49,0,22,21,0,2026-07-10T05:25:08.331239+00:00
918,Grade 8,Science,Exemplar: Materials: Metals and Non-Metals,NCERT Exemplar Grade 8 Science — Materials: Metals and Non-Metals,22,0,False,93,100,95,50,0,21,17,0,2026-07-10T05:25:08.516965+00:00
917,Grade 8,Science,Exemplar: Synthetic Fibres and Plastics,NCERT Exemplar Grade 8 Science — Synthetic Fibres and Plastics,17,0,False,93,100,94,50,0,16,15,0,2026-07-10T05:25:08.772642+00:00
916,Grade 8,Science,Exemplar: Microorganisms: Friend and Foe,NCERT Exemplar Grade 8 Science — Microorganisms: Friend and Foe,19,0,False,93,100,94,49,0,18,17,0,2026-07-10T05:25:09.005389+00:00
915,Grade 8,Science,Exemplar: Crop Production and Management,NCERT Exemplar Grade 8 Science — Crop Production and Management,22,0,False,93,99,94,49,0,22,20,0,2026-07-10T05:25:09.210848+00:00
914,Grade 8,Maths,Exemplar: Direct and Inverse Proportions,NCERT Exemplar Grade 8 Maths — Direct and Inverse Proportions,40,0,False,94,100,96,50,0,39,25,0,2026-07-10T05:25:09.582746+00:00
913,Grade 8,Maths,Exemplar: Introduction to Graphs,NCERT Exemplar Grade 8 Maths — Introduction to Graphs,105,0,False,93,100,94,50,0,105,91,0,2026-07-10T05:25:10.839430+00:00
912,Grade 8,Maths,Exemplar: Exponents and Powers,NCERT Exemplar Grade 8 Maths — Exponents and Powers,102,0,False,93,100,95,48,0,101,82,0,2026-07-10T05:25:12.192823+00:00
911,Grade 8,Maths,Exemplar: Visualising Solid Shapes,NCERT Exemplar Grade 8 Maths — Visualising Solid Shapes,106,0,False,93,100,94,48,0,104,95,0,2026-07-10T05:25:13.420753+00:00
910,Grade 8,Maths,Exemplar: Playing with Numbers,NCERT Exemplar Grade 8 Maths — Playing with Numbers,116,0,False,93,100,95,48,0,116,91,0,2026-07-10T05:25:14.916353+00:00
909,Grade 8,Maths,Exemplar: Mensuration,NCERT Exemplar Grade 8 Maths — Mensuration,111,0,False,93,100,95,48,0,111,82,0,2026-07-10T05:25:16.355360+00:00
908,Grade 8,Maths,Exemplar: Algebraic Expressions and Identities,NCERT Exemplar Grade 8 Maths — Algebraic Expressions and Identities,102,0,False,93,99,96,47,0,102,80,0,2026-07-10T05:25:17.912336+00:00
907,Grade 8,Maths,Exemplar: Comparing Quantities,NCERT Exemplar Grade 8 Maths — Comparing Quantities,111,0,False,93,100,94,48,0,111,92,0,2026-07-10T05:25:19.242702+00:00
906,Grade 8,Maths,Exemplar: Understanding Quadrilaterals and Practical Geometry,NCERT Exemplar Grade 8 Maths — Understanding Quadrilaterals and Practical Geometry,134,0,False,93,100,95,49,0,134,102,0,2026-07-10T05:25:21.078896+00:00
905,Grade 8,Maths,Exemplar: Linear Equation in One Variable,NCERT Exemplar Grade 8 Maths — Linear Equation in One Variable,82,0,False,93,100,95,48,0,82,61,0,2026-07-10T05:25:21.973834+00:00
