grade,subject,chapter,status,issue_count,high_count,error
Grade 5,English,1. Papa's Spectacles,OK,1,1,
Grade 5,English,10. Glass Bangles,OK,7,2,
Grade 5,English,2. Gone with the Scooter,OK,3,0,
Grade 5,English,3. The Rainbow,OK,6,0,
Grade 5,English,4. The Wise Parrot,OK,3,0,
Grade 5,English,5. The Frog,OK,3,1,
Grade 5,English,6. What a Tank!,OK,5,0,
Grade 5,English,7. Gilli Danda,OK,1,0,
Grade 5,English,8. The Decision of the Panchayat,OK,1,0,
Grade 5,English,9. Vocation,OK,8,1,
Grade 5,EVS,Chapter 1: Water — The Essence of Life,OK,5,0,
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,OK,7,0,
Grade 5,EVS,Chapter 2: Journey of a River,OK,7,0,
Grade 5,EVS,Chapter 3: The Mystery of Food,OK,8,2,
Grade 5,EVS,Chapter 4: Our School — A Happy Place,OK,3,0,
Grade 5,EVS,Chapter 5: Our Vibrant Country,OK,4,2,
Grade 5,EVS,Chapter 6: Some Unique Places,OK,8,3,
Grade 5,EVS,Chapter 7: Energy — How Things Work,OK,7,0,
Grade 5,EVS,Chapter 8: Clothes — How Things are Made,OK,6,0,
Grade 5,EVS,Chapter 9: Rhythms of Nature,OK,4,1,
Grade 5,Hindi,1. किरन,OK,3,0,
Grade 5,Hindi,10. तीन मछलियाँ,OK,1,0,
Grade 5,Hindi,11. हमारे ये कलामंदिर,OK,1,0,
Grade 5,Hindi,12. गंगा की कहानी,OK,7,0,
Grade 5,Hindi,2. न्याय की कु सी,OK,5,0,
Grade 5,Hindi,3. चाँद का कु रता,OK,5,0,
Grade 5,Hindi,4. साङ्केन,OK,5,0,
Grade 5,Hindi,5. सुंदरिया,OK,1,0,
Grade 5,Hindi,6. चतुर चित्रकार,OK,6,0,
Grade 5,Hindi,7. मेरा बचपन,OK,6,0,
Grade 5,Hindi,8. काजीरंगा राष्ट्ीय उद्ान की यात्,OK,5,0,
Grade 5,Hindi,9. न्याय,OK,1,0,
Grade 5,Maths,Chapter 1: We the Travellers — I,OK,1,0,
Grade 5,Maths,Chapter 10: Symmetrical Designs,OK,2,0,
Grade 5,Maths,Chapter 11: Grandmother’s Quilt,OK,6,0,
Grade 5,Maths,Chapter 12: Racing Seconds,OK,8,0,
Grade 5,Maths,Chapter 13: Animal Jumps,OK,1,0,
Grade 5,Maths,Chapter 14: Maps and Locations,OK,4,0,
Grade 5,Maths,Chapter 15: Data Through Pictures,OK,4,0,
Grade 5,Maths,Chapter 2: Fractions,OK,2,0,
Grade 5,Maths,Chapter 3: Angles as Turns,OK,10,0,
Grade 5,Maths,Chapter 4: We the Travellers — II,OK,1,0,
Grade 5,Maths,Chapter 5: Far and Near,OK,7,1,
Grade 5,Maths,Chapter 6: The Dairy Farm,OK,7,3,
Grade 5,Maths,Chapter 7: Shapes and Patterns,OK,6,0,
Grade 5,Maths,Chapter 8: Weight and Capacity,OK,1,0,
Grade 5,Maths,Chapter 9: Coconut Farm,OK,3,1,
Grade 6,English,Unit 1: Fables and Folk Tales,OK,5,4,
Grade 6,English,Unit 2: Friendship,OK,2,0,
Grade 6,English,Unit 3: Nurturing Nature,OK,5,4,
Grade 6,English,Unit 4: Sports and Wellness,OK,5,2,
Grade 6,English,Unit 5: Culture and Tradition,OK,5,4,
Grade 6,Hindi,1. मातृभूमि,OK,5,0,
Grade 6,Hindi,10. परीक्षा,OK,5,0,
Grade 6,Hindi,11. चेतक की वीरता,OK,2,0,
Grade 6,Hindi,12. हिंद महासागर में छोटा-सा हिंदुस्ान,OK,3,0,
Grade 6,Hindi,13. पेड़ की बात,OK,5,0,
Grade 6,Hindi,2. गोल,OK,5,0,
