grade,subject,chapter,step_count,overall_score,completeness_score,formula_quality_score,mcq_quality_score,pedagogy_score,student_flow_score,critical,high,medium,low,audited_at
Grade 12,Accountancy,Accounting for Not-for-Profit Organisations,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.091724+00:00
Grade 12,Accountancy,Accounting for Partnership: Basic Concepts,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.093225+00:00
Grade 12,Accountancy,Accounting for Share Capital,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.094120+00:00
Grade 12,Accountancy,Accounting Ratios,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.095021+00:00
Grade 12,Accountancy,Analysis of Financial Statements,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.096189+00:00
Grade 12,Accountancy,Dissolution of Partnership Firm,5,94,100,90,80,100,100,0,0,0,0,2026-07-06T13:37:46.097278+00:00
Grade 12,Accountancy,Financial Statements of a Company,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.098296+00:00
Grade 12,Accountancy,Issue and Redemption of Debentures,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.099268+00:00
Grade 12,Accountancy,Reconstitution of a Partnership Firm – Admission of a Partner,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.100454+00:00
Grade 12,Accountancy,Reconstitution of a Partnership Firm – Retirement/Death of a Partner,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.101702+00:00
Grade 12,Biology,Biotechnology and its Applications,5,94,100,90,80,100,100,0,0,0,0,2026-07-06T13:37:46.102149+00:00
Grade 12,Biology,Biotechnology: Principles and Processes,5,94,100,90,80,100,100,0,0,0,0,2026-07-06T13:37:46.102762+00:00
Grade 12,Biology,Evolution,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.103617+00:00
Grade 12,Biology,Exemplar: Animal Husbandry,5,93,95,90,80,98,100,0,0,1,1,2026-07-06T13:37:46.104878+00:00
Grade 12,Biology,Exemplar: Biodiversity and Conservation,5,94,100,90,80,100,100,0,0,0,0,2026-07-06T13:37:46.106173+00:00
Grade 12,Biology,Exemplar: Biotechnology and Its Applications,5,93,95,90,80,100,100,0,0,1,0,2026-07-06T13:37:46.107254+00:00
Grade 12,Biology,Exemplar: Biotechnology: Principles and Processes,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:46.108587+00:00
Grade 12,Biology,Exemplar: Ecosystem,5,93,95,90,80,100,100,0,0,1,0,2026-07-06T13:37:46.109527+00:00
