grade,subject,chapter,step_title,sections_found,sections_total,missing_sections,overall_score,critical,high,audited_at
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,Concept introduction,8,8,,50,3,7,2026-06-29T11:19:25.336152+00:00
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,Revision and recap,7,8,introduction,44,2,7,2026-06-29T11:19:25.337201+00:00
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,Core explanation,8,8,,50,2,6,2026-06-29T11:19:25.338322+00:00
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,Exam preparation,8,8,,50,3,5,2026-06-29T11:19:25.339427+00:00
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,Exam-style problems,7,8,introduction,44,9,7,2026-06-29T11:19:25.341110+00:00
Grade 10,English,Supplementary Reader - Chapter 1: A Triumph of Surgery,Worked examples,7,8,introduction,46,3,2,2026-06-29T11:19:25.342617+00:00
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,Exam-style problems,8,8,,85,0,3,2026-06-29T11:19:25.344816+00:00
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,Concept introduction,8,8,,50,3,7,2026-06-29T11:19:25.345641+00:00
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,Revision and recap,7,8,introduction,44,3,6,2026-06-29T11:19:25.346787+00:00
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,Core explanation,8,8,,58,1,6,2026-06-29T11:19:25.347880+00:00
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,Worked examples,7,8,introduction,44,2,5,2026-06-29T11:19:25.349393+00:00
Grade 10,English,Supplementary Reader - Chapter 2: The Thief's Story,Exam preparation,7,8,introduction,44,4,4,2026-06-29T11:19:25.350736+00:00
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,Core explanation,8,8,,50,2,6,2026-06-29T11:19:25.351682+00:00
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,Exam preparation,7,8,introduction,44,3,5,2026-06-29T11:19:25.352657+00:00
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,Revision and recap,8,8,,50,2,6,2026-06-29T11:19:25.353451+00:00
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,Exam-style problems,7,8,introduction,72,1,2,2026-06-29T11:19:25.355503+00:00
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,Concept introduction,8,8,,50,3,7,2026-06-29T11:19:25.356236+00:00
Grade 10,English,Supplementary Reader - Chapter 3: The Midnight Visitor,Worked examples,7,8,introduction,44,3,4,2026-06-29T11:19:25.357466+00:00
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,Exam-style problems,8,8,,50,2,8,2026-06-29T11:19:25.358582+00:00
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,Worked examples,7,8,introduction,44,8,6,2026-06-29T11:19:25.359700+00:00
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,Exam preparation,7,8,introduction,44,5,4,2026-06-29T11:19:25.360556+00:00
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,Revision and recap,8,8,,50,3,4,2026-06-29T11:19:25.361408+00:00
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,Core explanation,7,8,introduction,44,3,7,2026-06-29T11:19:25.362290+00:00
Grade 10,English,Supplementary Reader - Chapter 4: A Question of Trust,Concept introduction,7,8,introduction,44,8,7,2026-06-29T11:19:25.364192+00:00
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,Revision and recap,8,8,,50,3,5,2026-06-29T11:19:25.365311+00:00
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,Concept introduction,8,8,,50,3,8,2026-06-29T11:19:25.366422+00:00
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,Exam preparation,7,8,introduction,44,3,3,2026-06-29T11:19:25.367582+00:00
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,Worked examples,7,8,introduction,44,4,4,2026-06-29T11:19:25.368681+00:00
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,Exam-style problems,7,8,introduction,44,3,5,2026-06-29T11:19:25.370031+00:00
Grade 10,English,Supplementary Reader - Chapter 5: Footprints without Feet,Core explanation,7,8,introduction,44,4,3,2026-06-29T11:19:25.371375+00:00
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,Exam-style problems,7,8,introduction,44,2,5,2026-06-29T11:19:25.372680+00:00
Grade 10,English,Supplementary Reader - Chapter 6: The Making of a Scientist,Revision and recap,8,8,,50,3,4,2026-06-29T11:19:25.373815+00:00
