grade,subject,chapter,status,observed_topic,confidence,error
Grade 11,Mathematics,Chapter 1: Sets,MATCH,Introduction to Sets,high,
Grade 11,Mathematics,Chapter 10: Conic Sections,MATCH,Conic Sections,high,
Grade 11,Mathematics,Chapter 11: Introduction to Three Dimensional Geometry,MATCH,Three Dimensional Geometry,high,
Grade 11,Mathematics,Chapter 12: Limits and Derivatives,MATCH,Calculus,high,
Grade 11,Mathematics,Chapter 13: Statistics,MATCH,Central tendency and measures of spread,high,
Grade 11,Mathematics,Chapter 14: Probability,MATCH,Probability and Set Theory,high,
Grade 11,Mathematics,Chapter 2: Relations and Functions,MATCH,Cartesian products and ordered pairs,high,
Grade 11,Mathematics,Chapter 3: Trigonometric Functions,MATCH,Trigonometric Functions,high,
Grade 11,Mathematics,Chapter 4: Complex Numbers and Quadratic Equations,MATCH,Complex Numbers and Quadratic Equations,high,
Grade 11,Mathematics,Chapter 5: Linear Inequalities,MATCH,Inequalities,high,
Grade 11,Mathematics,Chapter 6: Permutations and Combinations,MATCH,Permutations and Combinations,high,
Grade 11,Mathematics,Chapter 7: Binomial Theorem,MATCH,Binomial Theorem and Pascal's Triangle,high,
Grade 11,Mathematics,Chapter 8: Sequences and Series,MATCH,sequences and series,high,
Grade 11,Mathematics,Chapter 9: Straight Lines,MATCH,straight lines,high,
Grade 11,Mathematics,Principle of Mathematical Induction,MATCH,Mathematical Induction,high,
