grade,subject,chapter,step_count,overall_score,completeness_score,formula_quality_score,mcq_quality_score,pedagogy_score,student_flow_score,critical,high,medium,low,audited_at
Grade 10,Hindi,अध्याय 6: मंगलेश डबराल,1,94,100,90,80,98,100,0,0,0,1,2026-07-18T06:56:02.670932+00:00
Grade 5,Maths,Chapter 8: Weight and Capacity,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.671192+00:00
Grade 10,Maths,Chapter 1: Real Numbers,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.671402+00:00
Grade 10,Social Science,Geography - Chapter 3: Water Resources,1,94,100,90,80,98,100,0,0,0,1,2026-07-18T06:56:02.671648+00:00
Grade 10,Science,Chapter 6: Control and Coordination,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.671698+00:00
Grade 10,Maths,Exemplar: Coordinate Geometry,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.671895+00:00
Grade 10,Social Science,Text Book - Chapter 4: Globalisation and the Indian Economy,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.672155+00:00
Grade 10,Science,Chapter 5: Life Processes,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.672409+00:00
Grade 10,Social Science,History - Chapter 4: The Age of Industrialisation,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.672821+00:00
Grade 10,Science,Exemplar: Periodic Classification of Elements,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.673265+00:00
Grade 5,Maths,Chapter 7: Shapes and Patterns,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.673721+00:00
Grade 10,Maths,Exemplar: Real Numbers,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.674012+00:00
Grade 5,EVS,Chapter 10: Earth — Our Shared Home,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.674219+00:00
Grade 10,Maths,Exemplar: Polynomials,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.674336+00:00
Grade 10,Science,Exemplar: Heredity and Evolution,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.674593+00:00
Grade 6,Maths,Chapter 10 The Other Side of Zero,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.674695+00:00
Grade 6,Science,Chapter 11: Nature’s Treasures,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.674870+00:00
Grade 5,English,5. The Frog,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.675075+00:00
Grade 10,Maths,Exemplar: Areas Related to Circles,1,94,100,90,80,100,100,0,0,0,0,2026-07-18T06:56:02.675288+00:00
Grade 6,Hindi,2. गोल,1,94,100,90,80,98,100,0,0,0,1,2026-07-18T06:56:02.675458+00:00
